id,gloss
W02823,ra lệnh
W02957,sinh sống
W03262,thiếp đi
W03416,tiếp nhận
W03451,tình yêu
W03459,tính chất kết hợp
D0139,tôi yêu bạn ấy
D0212,đèn ông sao
W01242,đón tiếp
W00097,bàn tay
W00190,băng dính
W00306,bỏng ngô
W00352,bờm tóc
W00671,chúi đầu
W00640,chớp mắt
W00722,co giật
W00410,cánh tay
W00867,cơ bắp
W00872,cơ thể
D0276,cắt lông mũi
W00429,cặp tóc
W00816,cổ chân
W00818,cổ họng
W00819,cổ kính
W00822,cổ tay
W00830,cổ tích
W00824,cổ vũ
W00815,cổ áo
W00994,dầu gội đầu
W01379,gan lì
W01381,gang tay
W01388,gãy tay
W04070,gù lưng
W01524,gương mặt
W01400,gật đầu
D0021,hói đầu
W01854,khúc khuỷu
W01777,khăn mặt
D0228,lau miệng
W02025,loạn thị
W02040,lông gà
W02081,lưỡi câu
W01951,lắc đầu
W02119,mái tóc
W02223,móng chân
W02225,móng tay
W02226,móng vuốt
W02182,mất ngủ
W02183,mất trí
W02175,mặt dài
W02173,mặt nạ
W02172,mặt vuông
W02171,mặt đất
D0369,mệt mỏi
D0282,mọc râu
D0281,mọc tóc
W02231,mồ hôi
W02259,mở đầu
W02393,ngón tay
W02349,ngẩng đầu
W02398,ngộ độc
W02468,nháy mắt
W02471,nhăn mặt
D0433,nhắm mắt
D0274,nhổ râu
D0273,nhổ tóc
W02311,nét mặt
D0018,nổi da gà
W02690,phố cổ
W02879,ruột già
W02880,ruột non
D0278,răng hô
D0279,răng khểnh
D0413,rửa mặt
W02888,rửa tay
W02964,son môi
W03021,súc miệng
W02970,sổ đầu bài
D0067,ti hí mắt
D0428,tóc dài
W03479,tóc xoăn
W03480,tóm cổ
W03692,túm tóc
W03099,tặc lưỡi
D0002,tỉnh
W03748,uốn tóc
W03909,vuốt tóc
D0105,xoa đầu
W03939,xã
D0343,đánh cầu lông
D0414,đánh răng
D0425,Đảng
W01141,đầu gối
W01144,đầu tiên
W00147,bao nhiêu?
W00116,bảng chỉ dẫn
D0036,bực mình
W00425,cau có
D0130,chúng tôi (2 người) (đại từ)
D0131,chúng tôi (3 người) (đại từ)
D0132,chúng tôi (4 người) (đại từ)
D0133,chúng tôi (5 người) (đại từ)
D0134,chúng tôi (đại từ)
W00565,chỉ dẫn
W00567,chỉ huy
W00568,chỉ khâu
D0121,còn bạn?
W00726,có ích
D0098,có … không?
W00915,cùi chỏ
D0166,cùng / với (giới từ)
D0118,cũng vậy/cũng thế
W00929,cử chỉ điệu bộ
W01459,giàu có
W01466,giật mình
W01571,hắt hơi
D0136,họ (2 người) (đại từ)
D0137,họ (đại từ)
D0112,không có
D0113,không có chi
W01833,không gian
W01841,không khí
W02008,liều mình
D0438,làm được
D0370,mệt không?
W03865,nhiều vô cùng
W03228,theo dõi
W03229,theo đuổi
D0187,thì thầm
W03237,thế hệ
W03689,tủi thân
W03912,vững chắc
W03936,xách túi
W04003,xông hơi
W01732,ít nhất
W01188,đều đặn
W01173,để (đặt)
W00212,bầu trời
W00293,bỏ phiếu
W00561,chi hội
W00678,chung kết
W00618,chính quyền
W00645,chủ nghĩa xã hội
W00870,cơ quan
W00939,cửa sổ
D0259,dự án
W01441,giám đốc
D0287,giãn cách xã hội
W01596,hiệu cầm đồ
W01718,huy hiệu
W01710,huân chương
D0295,hội thoại
W01698,hội trường
D0325,khởi nghiệp
W01863,kí duyệt
W02011,lĩnh hội
W02251,môn Tự nhiên và Xã hội
W02541,nội quy
W02660,phong bì
D0233,quan (chức vụ)
W02808,quy định
W02722,quả bầu
W02799,quốc ca
W02801,quốc hội
W02860,riêng biệt
W03023,sum họp
W02974,sổ tay
W02972,sổ điểm danh
D0300,tỉnh táo
W00001,ác cảm
W01231,đoàn thanh niên
W01098,đàn bầu
W01131,đắt đỏ
W00052,ấm đun nước
W00089,ban ngày
W00130,bánh Trung Thu
W00489,chào
W00714,chữ
D0372,cả ngày
W01511,gọi
D0349,năm tới
W03316,thu mua
W03419,tiếp thu
D0234,đi tuần
W00087,ban giám hiệu
W00113,bảng học sinh
W00486,chai nước
W00696,chuyển đổi số đo
W00705,chữ cái
W00733,con ba ba
W00793,con số
D0286,cách ly
D0447,cái vợt cá
W00838,công bằng
W00840,công cộng
W00433,cấp dưỡng
W00968,danh nhân
W00987,dân số
W00998,dấu bằng
W01004,dấu chia
W01006,dấu hai chấm
W01010,dấu nhân
D0248,gấp ba
D0247,gấp đôi
W01539,hàng chục
W01540,hàng chục nghìn
W01541,hàng chục triệu
W01546,hàng nghìn
W01550,hàng triệu
W01547,hàng trăm
W01548,hàng trăm nghìn
W01658,học sinh Miền Nam
D0474,khu vực cách ly
W02035,lỗi chính tả
W02247,môn Sinh học
W02249,môn Tin học và Công nghệ
W02238,môn Âm nhạc
D0409,một tiết học
W02477,nhân chứng
W02476,nhân cách hoá
W02478,nhân dân
D0004,nhân viên
W02481,nhân vật
W02289,nạn nhân
W02675,phòng học tin học
W02679,phòng thí nghiệm
W02667,phòng âm nhạc
D0256,quan sát
W02884,rút gọn phân số
W02901,sách giáo khoa
W03436,tin học
W03457,tính chất cơ bản của phân số
W03377,tỉ lệ
W01229,đoàn cải lương
D0303,đất nước bị chia cắt (Việt Nam)
W00105,bán buôn
W00108,bán kính (hình tròn)
W00106,bán đảo
W00179,bắc bán cầu
W00603,chim chào mào
W00490,chào cờ
W00492,chào mừng
W00706,chữ hoa
W00707,chữ viết
W00438,câu cá
W00442,câu đơn
W00851,công việc
W00437,cất tiếng nói
D0114,dân chủ
W01055,dòng chữ
W01001,dấu chấm
W01002,dấu chấm hỏi
W01003,dấu chấm than
W01005,dấu gạch ngang
W01009,dấu ngoặc đơn
W01011,dấu phẩy
W01429,giao hàng
W01420,giá sách
W01435,giá trị tuyệt đối
W01424,giải thích
W01487,giọng nói
D0451,góp tiền
W01542,hàng dọc
W01545,hàng ngang
W01834,không thẳng hàng
W01756,kêu gọi
W02090,lương thực
W02048,lời nói
W02266,mua bán
W02267,mua vé
W02284,Nam bán cầu
W02383,ngoặc đơn
W02426,người bán hàng
W02483,nhận hàng
W02523,nói chuyện
W02524,nói dối
W02526,nói leo
D0202,nói ngập ngừng
W02812,quý giá
W03285,thông báo
W03414,tiếng nói
W03648,trúng thưởng
W03526,trả lời
W03075,tạm biệt
W03118,tập viết
W03507,tống tiền
W03512,tờ tiền
W03713,từ phải sang trái
W03715,từ trái sang phải
W03711,từ đồng âm
W03842,viết lia lịa
W03990,xin lỗi
W03979,xếp hàng
W03980,xếp hàng dọc
W03981,xếp hàng ngang
W03982,xếp hàng ưu tiên
W01110,đánh giá
W01335,đường hàng không
W01239,đọc sách
W01296,đồng tiền
D0064,buồn thảm
W00091,bàn bạc
W00279,bình minh
W00351,bơm xe
W00245,bến xe
W00599,chiếu phim
W00845,công tắc
W00451,cầu thủ
W00859,cốp xe
W00936,cửa khẩu
W01398,gấp giấy
W01399,gấp quần áo
D0481,hoa giấy
W01602,hình chiếu
D0185,kẹt xe/tắc đường
W01989,lên xe
W01986,lên đường
W02037,lối đi
W02280,mui xe
W02147,máy chiếu
W02529,nổ lốp xe
W02645,phi công
W02649,phích nước
W02833,rạp chiếu phim
W03341,thuỷ thủ
W03476,toàn cầu
W03858,vòi nước
W03961,xe máy
W03615,xe tải
W03959,xe đạp
W01317,đua xe máy
W01329,đường biên giới
W01330,đường bộ
W01331,đường cao
W01332,đường chéo
W00569,đường chỉ tay
W01336,đường hầm
W01337,đường kính
W01341,đường Nguyễn Huệ
W01343,đường sắt
W01345,đường thuỷ
W01344,đường thẳng
W01346,đường tròn
W03742,ủng hộ
W00836,cốm
D0378,gỏi/nộm
D0380,hấp
D0375,luộc
D0377,lẩu
D0394,miến
W02161,mắm
W02283,mứt
D0374,nướng
W02321,nếm
D0406,Socola
D0078,súp
W03051,sườn
W03524,trà
D0376,xào
W04001,xôi
W00150,bao tay (dùng cho trẻ sơ sinh)
W00372,buồn nôn
W00388,bước
W00197,bắt
W00325,bố
W00353,bớt
W00481,cha
W00550,chém
W00512,chặn
W00807,cõng
W00895,cúi
W00910,cụ
W00972,dán
W00979,dạy
W00992,dập
W00981,dắt
W01027,dễ thương
W01432,giã
W01425,giảm
W01463,giẫm
W01479,giết
W01382,gánh
W01650,hoảng sợ
W01712,hung thủ
D0351,huỷ
W01800,khiêng
W01815,khoan
W01822,khoe
W01755,kêu
W02016,lo sợ
W00155,lưu
W01970,lấy
W02156,mặc
W02257,mở
W02368,nghĩ
W02428,người gửi
W02433,người nhận
W02499,nhìn
W02517,niềm vui
W02305,nén
W02295,nằm
W02300,nặn
W02798,quên
W02815,quỳ
W02874,rơi
W02962,soi
D0434,sờ
W03135,tha
W03240,thêm
W00653,thích nghi
W03272,thím
W03286,thông cảm
W03370,thương (số)
D0306,thương mại
W03281,thổi
W03305,thở
W03331,thủng
W03438,tin tức
W03573,trêu
W03084,tát
W03745,uốn
W03892,vui tính
W03780,vào
W03762,vác
W03867,vô lo vô nghĩ
W03821,vết thương
D0235,vỗ về
W03884,vớt
W03882,vỡ
W03975,xen
W04019,xuống
W03978,xếp
W02565,ôm
W03749,úp
W01234,đoán
W01107,đánh
D0462,đòi
W01241,đón
W01152,đẩy
W01134,đập
W01132,đặt
W01256,đổi
W01328,đựng
W00007,an ninh
D0084,bún chả
D0083,bún mắm
D0086,bún ốc
W00333,bồi thường
W00500,cháy rừng
W00548,chè đỗ đỏ
D0472,chõ xôi
W00901,củ cà rốt
W00903,củ gừng
W00908,củ tỏi
W00889,củ đậu
D0388,hải sản
D0017,hấp dẫn
D0079,súp lơ
D0404,trà nóng
D0403,trà đá
D0089,xôi gà
D0088,xôi gấc
W01321,đun nấu
W01261,đồn công an
W00055,ấm trà
W00067,Bà Nà
W00238,bên phải
W00299,bóc lột
W00100,bản làng
W00199,bắt giữ
W00200,bắt nạt
W00232,bế em
W00256,bịa đặt
W00295,bỏ rơi
W00327,bố mẹ
W00482,cha mẹ
W00547,che phủ
W00551,chen lấn
W00697,chuyển động
W00699,chuyển động quay
W00698,chuyển động đều
W00552,chèn ép
W00650,chú hề
W00651,chú rể
W00652,chú tễu
W00519,chấm dứt
W00572,chị dâu
W00628,chọn lọc
W00629,chọn lựa
W00809,cô dâu
W00434,cất giấu
W00435,cất giữ
W00431,cần khởi động
W00883,cởi mở
W00912,cụ già
W00911,cụ đồ
W01062,du học
W01025,dê mẹ
W01056,dòng họ
W01069,dụng cụ
W01349,em dâu
W01350,em gái
W01353,em út
W01406,ghé thăm
W01719,huỷ diệt
W01693,hối lộ
W01784,khâu vá
W01942,lãnh đạo
W02070,lùi bước
W02255,mơ ngủ
W02342,ngăn chặn
D0261,năn nỉ
W02536,nổi dậy
W02794,quét dọn
W02876,ru ngủ
W01324,sa thải
W02954,sinh động
W02951,siêu thị
W03191,tháo gỡ
W03328,thúc đẩy
W03282,thổi bóng
W03810,vây bắt
W03903,vùng vẫy (dành cho người)
D0161,về 4 (từ nơi khác về)
D0196,xem đã
W02572,ông già
D0460,đua đòi
W01108,đánh bắt
W01325,đưa đón
W01302,động viên
W00225,béo
W00494,chát
W00804,cong
W00952,dài
W01021,dẻo
W01061,dốt
W01485,giỏi
W01757,khác
W01792,khéo
D0383,nguội
D0384,ngán
W02343,ngắn
W02504,nhọn
W02828,rách
W00024,sáng
D0382,thiu
D0381,thối
W03607,tròn
W03991,xinh
W00000,ác
W01149,đầy
D0528,dấu nặng
D0041,giỗ
D0350,Hoãn
W02281,muộn
D0530,1
D0539,10
D0547,100
D0531,2
D0532,3
D0533,4
D0544,40
D0534,5
D0536,7
D0537,8
D0545,80
D0538,9
W00170,bát
W00380,bút
W00102,bản nhạc
W00194,bằng
W004152,cao (nhà)
W004153,cao (núi)
W004151,cao (vật)
W00422,cao thấp
W00423,cao tốc
W00418,cao độ
W00485,chai
W00616,chín
W00514,chặt chẽ
W00666,chục
W00966,danh lam thắng cảnh
W00954,dài hơn
W00953,dài hạn
W00955,dài nhất
W00982,dân ca
W01026,dễ chịu
W01440,giải vô địch
W01490,giống nhau
W01505,góc nhọn
W01507,góc vuông
W01510,gói
W01512,gọn gàng
W03908,hình vuông
W01666,học kém
W01789,khen
W01864,ki-lô-gam
W01876,kịch bản
W02052,lớp
D0006,Ma Cao
W02134,màu đỏ
D0200,má hồng
W02204,mềm mại
W02261,mở rộng
W02356,nghệ sĩ
W02493,nhẹ hơn
W02494,nhẹ nhàng
W02505,nhọn hoắt
W02501,nhỏ hơn
W02502,nhỏ tuổi
W00648,nước tới chân mới nhảy
W02301,nặng hơn
W02538,nổi nóng
W02666,phong tục
W02779,quay phim
W02861,riêng tư
W02872,rộng lớn
W02873,rộng rãi
D0107,rực rỡ
W02915,sáng chói
W02918,sáng tạo
W03202,thẳng tắp
W03466,to lớn
W03063,tài giỏi
W03434,tím tái
W03747,uốn dẻo
W03911,vuông góc
W03778,vàng bạc
W03773,vạm vỡ
W03992,xinh xắn
W03943,xách nặng
W04060,yếu tố
W00003,ác mộng
W00002,ác độc
W01227,đo
W01192,đĩa
W01151,đầy tớ
W01150,đầy đủ
W01172,đẹp mê hồn
W01170,đẹp đẽ (như đẹp)
W01184,đếm
W01183,đề-xi-mét vuông (dm<sup>2</sup>)
W02922,đỏ thắm
W01277,đổi mới
W00051,ấm áp
W00048,ầm ĩ
W00049,ẩm mốc
W00050,ẩm ướt
W01358,ế ẩm
W00260,biển đông
W00071,bài báo
W00166,báo thù
W00163,báo động
W00289,bò sát
W00712,chứng kiến
D0421,cuối năm
D0420,cuối tháng
D0419,cuối tuần
W00462,cây đa
W01588,hiện nay
W01625,hoa lay ơn
W01530,Hạ Long
W01681,Hồ Chí Minh
W01682,hồ dán
W01684,hồ Hoàn Kiếm
W01686,hồ nước
W01804,khoa học
D0068,kịp thời
W01984,lễ vật
W02150,máy quay
W02242,môn Khoa học
W02271,mùa thu
W02269,mùa đông
W02263,mời
W02339,ngày xưa
W02334,ngày đêm
D0150,năm là
W02294,năm ngoái
W02677,phòng máy tính
W02921,sao chép
W02960,sinh vật
W03317,thu nhỏ
D0304,thống nhất đất nước
W03303,thời gian biểu
W03437,tin nhắn
W03632,trú mưa
W01208,điện thoại
W01287,đông lạnh
W01262,Đông Nam
W01263,Đông Nam Á
W01265,đồng hồ
D0148,ba là
W00174,bay
W00254,bìa sách
W00297,bó đũa
W00381,bút bi
W00382,bút dạ
W00384,bút máy
W00347,bơi
W00104,bản thân
W00152,bảo đảm
W00301,bọc sách
D0149,bốn là
W00329,bộ sách
W00581,chia sẻ
W00689,chuyên biệt
W00499,chày
W00553,chén
W00555,chép bài
W00619,chính tả
W00658,chùa Một Cột
W00501,chạy
W00537,chất lượng
W00718,chứng cớ
W00924,cuốn
W00402,cái bè
D0239,cái gùi
D0468,cái neo
W00405,cái nhíp
W00406,cái túi
W00473,cây số
W00844,công sức
W00428,cặp sách
W00832,cốc
W00854,cổng
W00861,cột
W00959,dàn bài
D0308,dân tộc Chăm
D0310,dân tộc Khơ me
D0312,dân tộc Mông
D0309,dân tộc Mường
W00977,dãy số
W00978,dãy số liệu
W01410,ghi chép
W01413,ghi nhớ
W01442,giám khảo
W01456,giáo dục
W01491,giơ tay
W01498,giường
W01509,gói (đgt)
W01523,gương
W01392,gắn bó
W01515,gọt bút chì
D0147,hai là
W01637,hòa nhập
W01665,học bổng
W01701,hỗn số
W01702,hộp
W01703,hộp bút
W01791,khen tặng
W01856,khung cửa số
W01859,khuy
W01832,khối lượng
D0208,khổ công
W01865,ki-lô-mét vuông (km<sup>2</sup>)
W01900,kính
W01744,kẹp
W02002,liên tục
W02021,loa
W02065,luật lệ
W02077,lược
W02032,lọng
W02036,lỗi lầm
W02055,lớp phó
W02107,ma sát
W02215,minh hoạ
W02197,mét (m)
W02199,mét vuông (m<sup>2</sup>)
W02250,môn Toán
W02275,mũ
W02181,mầm non
W02191,mẫu số
W02192,mẫu số bé
W02194,mẫu số lớn
W02252,một cặp
D0146,một là
W02325,ngã ba
W02470,nhắc nhở
W02527,nón
W02297,năng khiếu
W02302,nắp
W02532,nồi
W02542,nội tiếp
W02587,phà
W02670,phòng chức năng
D0469,phóng viên
W02644,phễu
W02859,rế
W02870,rổ
W02885,rửa bát
W02975,số bé
W02981,số chín
W02979,số chẵn
W02989,số lẻ
W02992,số lớn
W02987,số đo
W03014,sợi
W03089,taxi
W03173,thành công
W03291,thông thường
W03330,thùng
W03215,thấp hơn
W03368,thực tế
W03388,tia số
W03430,tiểu học
W03672,trường hợp
W03059,tách
W03060,tách lớp
W01204,tấm lòng
D0221,tận số
W03379,tỉ mỉ
W03380,tỉ số
W03781,vào lớp
W03814,vé
D0203,Võ Thị Sáu
W03948,xăng
W03976,xẻng
W00028,áo
W01731,ít hơn
W02570,ôn tập
W01219,đinh
W01232,đoàn tụ
W01115,đào tạo
W01273,đôi chân
W01255,đôi dép
W01193,đĩa DVD
W01318,đũa
W01085,đại số
W03073,đảo Trường Sa
W04069,đệm
W01199,địa lí
W01264,đồng bằng
W03741,ủng
W00315,bồ kết
W00615,chỉnh sửa
W00642,chủ đề
W00443,câu ghép
W00440,câu đố
W00918,cụm từ
W00892,củ từ
W00970,danh từ
W00983,dân chài
W01385,gạo nếp
W01660,hỏi han
W01709,hợp tác
W02401,ngôn ngữ
W04073,ngôn ngữ kí hiệu
W02421,ngữ điệu
W03263,thiếp mời
W03308,thợ rèn
W03710,từ bỏ
W03712,từ ngữ
D0251,"đi lạc (đường, rừng..)"
W00176,bay liệng (bay lượn)
W00312,boong tàu
W00094,bàn ghế
W00098,bàn tán
W00308,bóng bay
W03371,bùng binh
W00209,bật đèn
W00243,bến tàu
W00235,bệ xí
W00340,bột giặt
W00396,ca nô
W00702,chuyển vế
W00502,chạy bàn
W00688,chụp đèn
W00453,cáp treo
W00894,cúc áo
W00448,cầu giao
W00449,cầu kì
W00452,cầu tre
W00454,cầu trượt
W00455,cầu vượt
W00865,cột nhà
W00866,cột sống
W00862,cột đèn
W00876,cởi áo
W00937,cửa kính
W01040,diện tích toàn phần
W01064,du thuyền
W00975,dãy nhà
W01468,giầy dép
W00122,hãng máy bay
W00142,hãng tàu thuyền
W04072,hãng ô tô
W01601,hình cầu
W01662,hót rác
W01787,khe cửa
W01810,khoá (cái khóa)
W01813,khoác áo
W01793,khép cửa
W01794,khí cầu
W01811,khóa cửa
W01821,khóc
W01903,kính lão
W01904,kính lúp
W02018,lò xo
W02091,lướt ván
W02116,mái chèo
W02118,mái nhà
W03859,mái vòm
W02218,móc áo
W02155,mắc áo
W02159,mặc kệ
W02258,mở cửa
W02260,mở màn
W02508,nhu cầu
W02443,nhà cửa
D0379,nhà kho
D0313,nhà rông
W02447,nhà sàn
W02449,nhà thơ
W02450,nhà thờ
W02448,nhà tầng
W02522,nóc nhà
W02322,nền nhà
W02795,quét nhà
W02895,rước đèn
D0186,suy ra (Toán học)
W02937,sân khấu
W02938,sân nhà
W02941,sân vận động
W03015,sợi chỉ
W03016,sợi dây
W03017,sợi len
W03349,thuyền rồng
D0026,thèm
D0450,thắp đèn
W03201,thẳng hàng (Toán học)
D0174,trông nhà
W03637,trùm chăn
W03086,tàu ngầm
W03087,tàu thuyền
W03088,tàu thủy
W03481,tóm lược
W03785,vạt áo
W03953,xâm lược
W03958,xây nhà
W03933,xả rác
W00030,áo cánh
D0302,áo kẻ sọc
W00033,áo len
W00029,áo ấm
W02561,ô tô
W01164,đeo kính
W01316,đua thuyền
W01158,đèn lồng
W01156,đèn đỏ
W01243,đóng cửa
W01143,đầu tàu
W01194,địa cầu
W01190,đi
W00059,ấn
W00217,bé gái
W00218,bé hơn
D0022,cười nhếch mép
W01464,giận dỗi
W01465,giận dữ
W01513,góp ý
W01404,gậy của người già
W01711,hung ác
D0262,háo hức
W01580,hét (giống la)
W01606,hình hộp chữ nhật
W01050,hăm dọa
W01569,hăng hái
D0217,hữu nghị
W01739,keo kiệt
D0280,kháu khỉnh
D0100,khờ dại
W01897,kinh ngạc
W01734,kẻ cắp
W01737,kẻ thù
W01910,la hét
W01947,lão già
W01983,lễ phép
W02202,mê say (như: say mê)
W02391,ngõ
W02431,người lạ
D0013,người nước ngoài
W02423,ngược đãi
W02495,nhi đồng
D0265,nhõng nhẽo
W02500,nhỏ/ nhỏ bé
W02291,náo nức
W02537,nổi giận
W02689,phố
W02805,quốc tế
W02926,sau
W03192,tháp
D0027,thèm rỏ dãi
W03241,thềm
W03300,thở dài
W03575,trêu tức
W03454,tính cách
W03725,tươi cười
D0333,tự hào
W03848,vịnh
D0232,yêu nước Việt Nam
W01116,đảo
W00350,bơm nước
W00101,bản lề
W00157,bảo thủ
W00318,bổ trợ
W00563,chi tiết
D0099,cung cấp
W00846,công thức
W00944,cướp biển
W00945,cướp cờ
W00946,cướp giật
D0254,cảnh giác
W00409,cảnh vật
W01068,dũng cảm
W00991,dẫn chứng
W01458,giáo sĩ
W01437,giải lao
W01478,giếng nước
W01506,góc tù
W00258,hóa đơn
W01882,kiên quyết
D0328,lượt về (trong thể thao)
D0327,lượt đi
W02047,lời giải
W02108,ma túy
W02456,nhà tù
W02469,nhạy cảm
D0014,nhập khẩu
W02528,nô lệ
W02539,nối tiếp
D0322,phân biệt
W02614,phân công
W02669,phòng chống
W02678,phòng mĩ thuật
W02672,phòng đa năng
D0334,quyên góp
W02883,rút gọn
W02955,sinh hoạt
W02952,siêu tốc
W03276,thoát hiểm
W03185,thành viên
W01943,thổ dân
W03435,tin cậy
W03405,tiến sĩ
D0003,tiếp tân
W03535,trạm y tế
W03525,trả (đt)
W04065,trả thù
W03618,trộm cắp
W03665,trực tiếp
W03684,tuân thủ
W03067,tài trợ
W03447,tình cảm
W03678,tù giam
D0264,tải về
W03107,tấn công
W03784,vá xe
W03885,vũ công
W03800,vận chuyển
D0160,về 3 (đi về)
D0162,về 5 (về nhà)
W03960,xe ben
W03971,xe cẩu
W03969,xe lu
W04011,xuất khẩu
D0258,xảy ra
W04034,y tế
W00045,âm thanh
W01191,đi học
W01244,đóng dấu
W01246,đóng góp
W01127,đăng nhập
W01305,đơn giản
W01086,đại tá
W02804,đề phòng
W01268,đổ nước
W00061,ấn tượng
W02579,ống nước
D0489,a
W00371,buôn làng
W00084,bãi tắm
W00237,bên dưới
W00239,bên trái
W00240,bên trên
W00246,bênh vực
W00156,bảo tàng
W00206,bất động
W00181,Bắc bộ
W00253,bị động
D0493,c
W00635,chợ nổi
W00839,công chúa
W00414,cạnh đối diện
W00930,cử động
D0494,d
D0496,e
D0521,f
W01508,góc vườn
W01397,gần gũi
D0501,i
D0522,j
D0502,k
W01851,khu vườn
W01760,khách sạn
D0503,l
W02003,liền sau
W01939,làng xóm
W01964,lầu (tầng)
W02550,nơi chốn
D0506,o
W02598,phản động
D0512,s
W01301,tác động
W03121,Tây Bắc
D0516,v
W03801,vận động
W01852,vực sâu
D0523,w
W03925,xa cách
W03869,xa vô tận
W03999,xóm làng
D0519,z
D0495,đ
W01104,đàng ngoài
W01117,đảo Lý Sơn
W01128,đằng sau
W01129,đằng trước
W00593,chiêng
W01735,kèn
W01035,kịch
W02276,múa
W02923,sáo
W00590,sĩ quan
W03624,trống
D0215,Ô-lim-píc
W00006,An Giang
W00288,bò
W00361,bùn
W00070,Bạc Liêu
W00685,chuồng
W00424,cát
D0319,cảng Hải Phòng
W00916,củi
W01354,email
W01375,gai
